category,k,r,band95,any_lag_band95,p_shift,outside
asset_mgr,-4,-0.019739040371870648,0.0669811547667147,0.1046297648630546,0.5922038980509745,False
asset_mgr,-3,-0.0058615597386746515,0.06960655371182496,0.1046297648630546,0.8670664667666167,False
asset_mgr,-2,0.02849311777941857,0.06568944632413555,0.1046297648630546,0.41579210394802596,False
asset_mgr,-1,0.07520097811543806,0.06818938859069859,0.1046297648630546,0.03248375812093953,True
asset_mgr,0,0.28389445997969537,0.06845106779975045,0.1046297648630546,0.0004997501249375312,True
asset_mgr,1,-0.04035483099386118,0.0668210103938962,0.1046297648630546,0.24987506246876562,False
asset_mgr,2,-0.01736131378252778,0.0674998315378627,0.1046297648630546,0.6346826586706646,False
asset_mgr,3,0.0077959783485431,0.06759743290570722,0.1046297648630546,0.8070964517741129,False
asset_mgr,4,0.03899922797966283,0.06773427612221555,0.1046297648630546,0.2773613193403298,False
asset_mgr,5,-0.049026417770161826,0.06988208267040734,0.1046297648630546,0.16891554222888555,False
asset_mgr,6,-0.0021510387138937545,0.06571380648542913,0.1046297648630546,0.9215392303848076,False
asset_mgr,7,0.030606056807519818,0.06613677200284802,0.1046297648630546,0.3798100949525237,False
asset_mgr,8,-0.007066673632905265,0.06543225604253379,0.1046297648630546,0.8185907046476761,False
lev_money,-8,0.012827339404264011,0.07106272198663283,0.09577786193590211,0.7321339330334833,False
lev_money,-7,0.03572854150895415,0.07276178539110234,0.09577786193590211,0.3293353323338331,False
lev_money,-6,-0.08568010216686854,0.07278379951427393,0.09577786193590211,0.017991004497751123,True
lev_money,-5,-0.01655882663533791,0.06723407283739306,0.09577786193590211,0.6776611694152923,False
lev_money,-4,0.003979726036793739,0.06717075542485877,0.09577786193590211,0.9260369815092454,False
lev_money,-3,0.020327448151186516,0.07201834696124083,0.09577786193590211,0.544727636181909,False
lev_money,-2,0.13340437105658715,0.07295634278457436,0.09577786193590211,0.0004997501249375312,True
lev_money,-1,0.12260594619127448,0.06880716676184744,0.09577786193590211,0.0004997501249375312,True
lev_money,0,-0.12894329233660395,0.07260056751029355,0.09577786193590211,0.0004997501249375312,True
lev_money,1,-0.036619121845188195,0.07202350940757546,0.09577786193590211,0.31284357821089454,False
lev_money,2,-0.06298400384150335,0.06845821370771007,0.09577786193590211,0.07446276861569215,False
lev_money,3,0.07569809478045446,0.06867491985681462,0.09577786193590211,0.030984507746126936,True
lev_money,4,-0.04872098416511801,0.06843070188241274,0.09577786193590211,0.17841079460269865,False
lev_money,5,-0.012715444595309352,0.06733425888449925,0.09577786193590211,0.744127936031984,False
lev_money,6,0.03895037968341567,0.06883880273154548,0.09577786193590211,0.2708645677161419,False
lev_money,7,0.08711695019011916,0.0689810281790726,0.09577786193590211,0.01199400299850075,True
lev_money,8,-0.03576280781947097,0.07074740089316958,0.09577786193590211,0.3118440779610195,False
other_rept,-8,0.05616842001627755,0.0685828256610425,0.13125579241428445,0.08195902048975512,False
other_rept,-7,-0.013462190878766257,0.07039203734642506,0.13125579241428445,0.6626686656671664,False
other_rept,-6,0.039470291053482924,0.06888134873126937,0.13125579241428445,0.2028985507246377,False
other_rept,-5,-0.10845735154159702,0.06871327606921984,0.13125579241428445,0.006496751624187906,True
other_rept,-4,0.019446219484972254,0.07063560935797099,0.13125579241428445,0.5387306346826587,False
other_rept,-3,-0.00671590307039826,0.07060698669314454,0.13125579241428445,0.809095452273863,False
other_rept,-2,0.03717540105008366,0.07051126405326927,0.13125579241428445,0.23138430784607697,False
other_rept,-1,-0.002533251397989755,0.0711516089966623,0.13125579241428445,0.9260369815092454,False
other_rept,0,0.09912913527172007,0.07013687137702254,0.13125579241428445,0.014992503748125937,True
other_rept,1,-0.025471417677201427,0.07136836144720618,0.13125579241428445,0.4237881059470265,False
other_rept,2,0.040415896619177376,0.06993080734633635,0.13125579241428445,0.21039480259870064,False
other_rept,3,-0.07412459265145242,0.07236527178709475,0.13125579241428445,0.04847576211894053,True
other_rept,4,-0.01880142506494147,0.0696389152356144,0.13125579241428445,0.5542228885557221,False
other_rept,5,0.023058673710649298,0.07495018491819609,0.13125579241428445,0.4682658670664668,False
other_rept,6,0.043294974581682695,0.06893575232613869,0.13125579241428445,0.16591704147926037,False
other_rept,7,0.020963190804494904,0.06888742808402154,0.13125579241428445,0.4987506246876562,False
other_rept,8,0.03029195720548743,0.07060010057320366,0.13125579241428445,0.3363318340829585,False
nonrept,-8,0.06047470701804473,0.07077294256063592,0.10643238161772177,0.08545727136431784,False
nonrept,-7,0.07216954863096903,0.06839555937557641,0.10643238161772177,0.03798100949525238,True
nonrept,-6,0.03490210402056092,0.07031764885062271,0.10643238161772177,0.31334332833583206,False
nonrept,-5,-0.01722924718131591,0.0706765792088628,0.10643238161772177,0.6126936531734133,False
nonrept,-4,-0.09088202413339382,0.07000698438573898,0.10643238161772177,0.009495252373813094,True
nonrept,-3,0.02021543513333242,0.07139926259260232,0.10643238161772177,0.553223388305847,False
nonrept,-2,0.0913248572864753,0.07263287927411735,0.10643238161772177,0.018490754622688656,True
nonrept,-1,0.09559828901714791,0.0725305797539743,0.10643238161772177,0.009495252373813094,True
nonrept,0,-0.1268658183425732,0.0704954568450242,0.10643238161772177,0.0004997501249375312,True
nonrept,1,-0.0026106146772729762,0.07258463897839988,0.10643238161772177,0.9330334832583708,False
nonrept,2,-0.01554678662912832,0.0715559483924166,0.10643238161772177,0.657671164417791,False
nonrept,3,-0.01699286794622128,0.07304668644327315,0.10643238161772177,0.6341829085457271,False
nonrept,4,-0.024751348657746322,0.07285288705826486,0.10643238161772177,0.48375812093953025,False
nonrept,5,0.015887701597570386,0.07141419855462808,0.10643238161772177,0.6586706646676662,False
nonrept,6,0.01606388998725976,0.06730051532684576,0.10643238161772177,0.6301849075462269,False
nonrept,7,-0.010764464791742877,0.07023390577704135,0.10643238161772177,0.7531234382808596,False
nonrept,8,0.08345755955141221,0.06874027022007005,0.10643238161772177,0.020989505247376312,True
